region,accepted_name,years_present,freq_occurrence,mean_wgt_cpua,total_biomass
Baltic,Gadus morhua,22,93.18338759001676,1358.823078373504,12835442.798316132
Baltic,Platichthys flesus,22,92.54217224030778,568.9701982025554,5337509.4293381665
Baltic,Limanda limanda,22,39.76521653349117,545.394161994789,2198483.8670009947
Baltic,Merlangius merlangus,22,46.36480220972675,295.0245494153689,1386615.382252235
Baltic,Pleuronectes platessa,22,70.01085133668738,192.7340619472061,1367833.6376393216
Baltic,Myoxocephalus scorpius,22,29.979283811778632,54.13311197522087,164510.52729269624
Baltic,Scophthalmus maximus,22,32.80063135049817,30.0706746059198,99984.99306468332
Baltic,Enchelyopus cimbrius,22,17.401598105948505,27.772586730190255,48990.84299205565
Barents Sea,Gadus morhua,18,85.2598913886734,541.1541321167813,1784185.173589027
Barents Sea,Melanogrammus aeglefinus,18,60.848202741143005,318.3061787650274,748974.4386341092
Barents Sea,Sebastes mentella,18,59.891388673390225,253.7828864984837,587761.165130488
Barents Sea,Micromesistius poutassou,18,34.39358675976209,411.0068472914609,546639.1068976438
Barents Sea,Hippoglossoides platessoides,18,88.54409102663564,137.68983724875469,471450.0027397364
Barents Sea,Boreogadus saida,18,46.28911300749935,109.95441258737273,196818.3985313967
Barents Sea,Reinhardtius hippoglossoides,18,51.38350142229118,75.64349094590081,150303.61650950456
Barents Sea,Trisopterus esmarkii,18,23.273855702094647,145.26570077587775,130739.13069829012
Barents Sea,Anarhichas denticulatus,18,16.420998189811222,158.55293752305047,100681.11532713716
Barents Sea,Anarhichas minor,18,22.032583397982933,106.6476040894878,90863.75868424361
Barents Sea,Amblyraja radiata,18,45.125420222394624,26.966349654909727,47056.28014781754
Barents Sea,Anarhichas lupus,18,21.56710628394104,49.42769720177543,41222.69946628078
Barents Sea,Sebastes norvegicus,18,18.412205844323765,44.57230502905035,31735.481180683877
Barents Sea,Triglops nybelini,18,17.14507370054306,12.181949198418684,8076.632318551587
Barents Sea,Leptoclinus maculatus,18,45.202999741401605,3.2732387402885887,5721.62131802445
Barents Sea,Artediellus atlanticus,18,62.91698991466253,2.245586671860678,5463.512372637044
British Columbia,Sebastes alutus,17,52.59181163240204,2023.493875978653,6056317.170804108
British Columbia,Atheresthes stomias,17,85.52099806712353,786.5468870345798,3828123.6991973035
British Columbia,Squalus suckleyi,17,54.41925847829907,564.3021137077776,1747643.6461529813
British Columbia,Hydrolagus colliei,17,80.40766121946933,292.0447915517481,1336396.9661408013
British Columbia,Sebastes brevispinis,17,46.0903180460376,498.7208292780261,1308144.7351962621
British Columbia,Sebastes zacentrus,17,28.852574240028115,761.9954543776079,1251196.536088034
British Columbia,Anoplopoma fimbria,17,54.630117729748726,315.8784627915247,982066.1408188507
British Columbia,Microstomus pacificus,17,74.5211737831664,213.87831932184304,907057.9522439361
British Columbia,Glyptocephalus zachirus,17,81.69038833245476,187.51685793365354,871765.8725335564
British Columbia,Sebastes proriger,17,22.98365840801265,655.094027042441,856862.9873715123
British Columbia,Parophrys vetulus,17,43.70057986294149,264.125814385957,656880.9003778765
British Columbia,Sebastes flavidus,17,22.509225092250922,507.758071854536,650438.0900456597
British Columbia,Merluccius productus,17,36.162361623616235,296.68465925075367,610577.0287380499
British Columbia,Sebastes reedi,17,15.05886487436303,637.9100027776609,546688.8723804553
British Columbia,Sebastes pinniger,17,19.32876471621859,428.51615093874705,471367.76603262196
British Columbia,Sebastolobus alascanus,17,39.60639606396064,197.22516424461003,444545.5202073509
British Columbia,Gadus macrocephalus,17,51.713231418028464,136.9346612625776,402998.708095767
